id,price,countryCurrency,addressStreet,status Type,badgeInfo,hasOpenHouse,relaxed,addressCity,zestimate
265375257,"$330,000",$,1053 Lutheran,FOR_SALE,Null,NULL,FALSE,Atlanta,FALSE
9844636,"$630,100",$,153 Black Bear,FOR_SALE,ForSale,TRUE,NULL,Blaine,FALSE
7468349,"$110,000",$,1792 12th Street,FOR_SALE,Null,NULL,FALSE,Biloxi,68500
128749,"$830,500",$,2513 Swan LN,FOR_SALE,Null,NULL,TRUE,Carson City,342400
6486438,"$500,900",$,1104 Old Swanzey,FOR_SALE,ForSale,TRUE,FALSE,Union City,FALSE
5348347,"$130,000",$,1153 Oceanfront,FOR_SALE,Null,NULL,FALSE,Missoula,FALSE
265375257,"$330,000",$,1053 Lutheran,FOR_SALE,Null,NULL,FALSE,Atlanta,FALSE
9844636,"$630,100",$,153 Black Bear,FOR_SALE,ForSale,TRUE,NULL,Blaine,FALSE
7468349,"$110,000",$,1792 12th Street,FOR_SALE,Null,NULL,FALSE,Biloxi,68500
128749,"$830,500",$,2513 Swan LN,FOR_SALE,Null,NULL,TRUE,Carson City,342400
6486438,"$500,900",$,1104 Old Swanzey,FOR_SALE,ForSale,TRUE,FALSE,Union City,FALSE
5348347,"$130,000",$,1153 Oceanfront,FOR_SALE,Null,NULL,FALSE,Missoula,FALSE
265375257,"$330,000",$,1053 Lutheran,FOR_SALE,Null,NULL,FALSE,Atlanta,FALSE
9844636,"$630,100",$,153 Black Bear,FOR_SALE,ForSale,TRUE,NULL,Blaine,FALSE
7468349,"$110,000",$,1792 12th Street,FOR_SALE,Null,NULL,FALSE,Biloxi,68500
128749,"$830,500",$,2513 Swan LN,FOR_SALE,Null,NULL,TRUE,Carson City,342400
6486438,"$500,900",$,1104 Old Swanzey,FOR_SALE,ForSale,TRUE,FALSE,Union City,FALSE
5348347,"$130,000",$,1153 Oceanfront,FOR_SALE,Null,NULL,FALSE,Missoula,FALSE
265375257,"$330,000",$,1053 Lutheran,FOR_SALE,Null,NULL,FALSE,Atlanta,FALSE
9844636,"$630,100",$,153 Black Bear,FOR_SALE,ForSale,TRUE,NULL,Blaine,FALSE
7468349,"$110,000",$,1792 12th Street,FOR_SALE,Null,NULL,FALSE,Biloxi,68500
128749,"$830,500",$,2513 Swan LN,FOR_SALE,Null,NULL,TRUE,Carson City,342400
6486438,"$500,900",$,1104 Old Swanzey,FOR_SALE,ForSale,TRUE,FALSE,Union City,FALSE
5348347,"$130,000",$,1153 Oceanfront,FOR_SALE,Null,NULL,FALSE,Missoula,FALSE
